match_no,bowling_team,extras
1,"Royal Challengers Bangalore",7
1,"Sunrisers Hyderabad",6
2,"Rising Pune Supergiant",8
2,"Mumbai Indians",4
3,"Kolkata Knight Riders",4
3,"Gujarat Lions",15
4,"Kings XI Punjab",6
4,"Rising Pune Supergiant",10
5,"Delhi Daredevils",6
5,"Royal Challengers Bangalore",5
6,"Sunrisers Hyderabad",3
6,"Gujarat Lions",3
7,"Mumbai Indians",9
7,"Kolkata Knight Riders",12
8,"Kings XI Punjab",4
8,"Royal Challengers Bangalore",6
9,"Rising Pune Supergiant",8
9,"Delhi Daredevils",5
10,"Mumbai Indians",11
10,"Sunrisers Hyderabad",4
11,"Kolkata Knight Riders",16
11,"Kings XI Punjab",11
12,"Mumbai Indians",11
12,"Royal Challengers Bangalore",13
13,"Gujarat Lions",5
13,"Rising Pune Supergiant",5
14,"Sunrisers Hyderabad",11
14,"Kolkata Knight Riders",7
15,"Kings XI Punjab",10
15,"Delhi Daredevils",2
16,"Mumbai Indians",11
16,"Gujarat Lions",13
17,"Royal Challengers Bangalore",13
17,"Rising Pune Supergiant",8
18,"Kolkata Knight Riders",3
18,"Delhi Daredevils",11
19,"Kings XI Punjab",11
19,"Sunrisers Hyderabad",10
20,"Gujarat Lions",4
20,"Royal Challengers Bangalore",8
21,"Delhi Daredevils",4
21,"Sunrisers Hyderabad",7
22,"Mumbai Indians",12
22,"Kings XI Punjab",8
23,"Gujarat Lions",3
23,"Kolkata Knight Riders",5
24,"Delhi Daredevils",16
24,"Mumbai Indians",8
25,"Rising Pune Supergiant",8
25,"Sunrisers Hyderabad",3
26,"Gujarat Lions",5
26,"Kings XI Punjab",7
27,"Royal Challengers Bangalore",8
27,"Kolkata Knight Riders",7
28,"Mumbai Indians",4
28,"Rising Pune Supergiant",6
29,"Kolkata Knight Riders",7
29,"Rising Pune Supergiant",13
30,"Gujarat Lions",12
30,"Royal Challengers Bangalore",8
31,"Kolkata Knight Riders",7
31,"Delhi Daredevils",10
32,"Kings XI Punjab",3
32,"Sunrisers Hyderabad",5
33,"Royal Challengers Bangalore",4
33,"Rising Pune Supergiant",4
34,"Mumbai Indians",15
34,"Gujarat Lions",1
35,"Kings XI Punjab",5
35,"Delhi Daredevils",2
36,"Kolkata Knight Riders",8
36,"Sunrisers Hyderabad",5
37,"Mumbai Indians",4
37,"Royal Challengers Bangalore",7
38,"Rising Pune Supergiant",7
38,"Gujarat Lions",7
39,"Delhi Daredevils",8
39,"Sunrisers Hyderabad",3
40,"Rising Pune Supergiant",5
40,"Kolkata Knight Riders",8
41,"Delhi Daredevils",5
41,"Gujarat Lions",12
42,"Royal Challengers Bangalore",12
42,"Kings XI Punjab",7
43,"Sunrisers Hyderabad",7
43,"Rising Pune Supergiant",2
44,"Delhi Daredevils",19
44,"Mumbai Indians",3
45,"Kolkata Knight Riders",3
45,"Royal Challengers Bangalore",6
46,"Gujarat Lions",3
46,"Kings XI Punjab",6
47,"Sunrisers Hyderabad",10
47,"Mumbai Indians",4
48,"Kolkata Knight Riders",12
48,"Kings XI Punjab",4
49,"Delhi Daredevils",11
49,"Gujarat Lions",3
50,"Mumbai Indians",10
50,"Kings XI Punjab",8
51,"Rising Pune Supergiant",7
51,"Delhi Daredevils",10
52,"Sunrisers Hyderabad",6
52,"Gujarat Lions",4
53,"Kolkata Knight Riders",17
53,"Mumbai Indians",8
54,"Rising Pune Supergiant",3
54,"Kings XI Punjab",1
