city,winning_team,wins
Hyderabad,"Sunrisers Hyderabad",1443
Pune,"Rising Pune Supergiant",1152
Rajkot,"Kolkata Knight Riders",218
Indore,"Kings XI Punjab",459
Bangalore,"Royal Challengers Bangalore",492
Mumbai,"Mumbai Indians",2038
Pune,"Delhi Daredevils",226
Kolkata,"Kolkata Knight Riders",1811
Bangalore,"Mumbai Indians",667
Rajkot,"Gujarat Lions",236
Delhi,"Delhi Daredevils",1927
Bangalore,"Rising Pune Supergiant",250
Delhi,"Kolkata Knight Riders",245
Rajkot,"Royal Challengers Bangalore",249
Indore,"Mumbai Indians",225
Kolkata,"Gujarat Lions",232
Rajkot,"Kings XI Punjab",245
Mumbai,"Rising Pune Supergiant",497
Pune,"Kolkata Knight Riders",239
Bangalore,"Gujarat Lions",212
Chandigarh,"Sunrisers Hyderabad",243
Chandigarh,"Kings XI Punjab",1859
Kolkata,"Rising Pune Supergiant",238
Bangalore,"Kings XI Punjab",478
Hyderabad,"Rising Pune Supergiant",246
Delhi,"Mumbai Indians",211
Bangalore,"Kolkata Knight Riders",598
Chandigarh,"Gujarat Lions",244
Kanpur,"Delhi Daredevils",243
Mumbai,"Kings XI Punjab",504
Kanpur,"Sunrisers Hyderabad",228
Kolkata,"Mumbai Indians",493
Delhi,"Royal Challengers Bangalore",249
Hyderabad,"Mumbai Indians",500
Chandigarh,"Chennai Super Kings",248
Mumbai,"Royal Challengers Bangalore",246
Jaipur,"Rajasthan Royals",1672
Hyderabad,"Delhi Daredevils",205
Chennai,"Chennai Super Kings",741
Hyderabad,"Rajasthan Royals",248
Bangalore,"Rajasthan Royals",229
Mumbai,"Deccan Chargers",202
Bangalore,"Chennai Super Kings",247
Hyderabad,"Kings XI Punjab",239
Chennai,"Delhi Daredevils",244
Hyderabad,"Royal Challengers Bangalore",240
Chennai,"Deccan Chargers",236
Delhi,"Chennai Super Kings",251
Hyderabad,"Kolkata Knight Riders",252
Delhi,"Kings XI Punjab",123
Kolkata,"Chennai Super Kings",175
Bangalore,"Delhi Daredevils",236
Kolkata,"Rajasthan Royals",224
Chennai,"Royal Challengers Bangalore",247
Chennai,"Rajasthan Royals",248
Hyderabad,"Chennai Super Kings",250
Mumbai,"Rajasthan Royals",473
Mumbai,"Chennai Super Kings",215
"Cape Town","Mumbai Indians",244
"Cape Town","Royal Challengers Bangalore",221
"Cape Town","Delhi Daredevils",108
"Cape Town","Deccan Chargers",446
"Port Elizabeth","Chennai Super Kings",220
Durban,"Kolkata Knight Riders",187
Durban,"Delhi Daredevils",246
Durban,"Kings XI Punjab",242
Durban,"Deccan Chargers",252
