season,toss_winner,toss_wins
2017,"Royal Challengers Bangalore",9
2017,"Rising Pune Supergiant",6
2017,"Kolkata Knight Riders",9
2017,"Kings XI Punjab",4
2017,"Sunrisers Hyderabad",5
2017,"Mumbai Indians",11
2017,"Gujarat Lions",7
2017,"Delhi Daredevils",8
2008,"Royal Challengers Bangalore",5
2008,"Chennai Super Kings",5
2008,"Rajasthan Royals",11
2008,"Mumbai Indians",8
2008,"Deccan Chargers",9
2008,"Kings XI Punjab",8
2008,"Kolkata Knight Riders",6
2008,"Delhi Daredevils",6
2009,"Chennai Super Kings",2
2009,"Royal Challengers Bangalore",2
2009,"Delhi Daredevils",2
2009,"Kolkata Knight Riders",3
2009,"Deccan Chargers",2
