player_of_match,total_wins
"YK Pathan",5
"SE Marsh",5
"SR Watson",4
"BA Stokes",3
"NM Coulter-Nile",3
"MS Dhoni",3
"AC Gilchrist",3
"RV Uthappa",2
"JD Unadkat",2
"Rashid Khan",2
"N Rana",2
"CH Gayle",2
"KH Pandya",2
"Sandeep Sharma",2
"SP Narine",2
"SK Raina",2
"AJ Tye",2
"V Sehwag",2
"ST Jayasuriya",2
"SM Pollock",2
"Sohail Tanvir",2
"SC Ganguly",2
"M Ntini",2
"B Kumar",1
"KS Williamson",1
"JC Buttler",1
"MJ McClenaghan",1
"HM Amla",1
"G Gambhir",1
"LH Ferguson",1
"DA Warner",1
"RG Sharma",1
"Mohammed Shami",1
"RA Tripathi",1
"RR Pant",1
"LMP Simmons",1
"DR Smith",1
"S Dhawan",1
"MM Sharma",1
"SS Iyer",1
"WP Saha",1
"KK Nair",1
"Mohammed Siraj",1
"AT Rayudu",1
"HV Patel",1
"Washington Sundar",1
"KV Sharma",1
"BB McCullum",1
"MEK Hussey",1
"MF Maharoof",1
"MV Boucher",1
"DJ Hussey",1
"Yuvraj Singh",1
"SPD Smith",1
"ML Hayden",1
"CA Lynn",1
"KC Sangakkara",1
"JDP Oram",1
"GJ Maxwell",1
"SM Katich",1
"KM Jadhav",1
"GD McGrath",1
"AR Patel",1
"SA Asnodkar",1
"R Vinay Kumar",1
"IK Pathan",1
"SV Samson",1
"JJ Bumrah",1
"S Sreesanth",1
"A Nehra",1
"KA Pollard",1
"CRD Fernando",1
"L Balaji",1
"Shoaib Akhtar",1
"A Mishra",1
"DPMD Jayawardene",1
"GC Smith",1
"DJ Bravo",1
"CJ Anderson",1
"SP Goswami",1
"A Kumble",1
"KD Karthik",1
"JA Morkel",1
"P Kumar",1
"Umar Gul",1
"SR Tendulkar",1
"R Dravid",1
"DL Vettori",1
"RP Singh",1
"M Muralitharan",1
"AB de Villiers",1
"RS Bopara",1
"PP Ojha",1
