id,inning,over_no,average_runs_per_over
1,1,1,1.0000
1,1,2,2.2857
1,1,3,1.0000
1,1,4,0.6667
1,1,5,1.5000
1,1,6,2.8333
1,1,7,0.8333
1,1,8,1.8333
1,1,9,1.5000
1,1,10,0.6667
1,1,11,1.6667
1,1,12,1.3333
1,1,13,2.5714
1,1,14,1.3333
1,1,15,3.1667
1,1,16,0.6667
1,1,17,1.1667
1,1,18,2.1250
1,1,19,2.0000
1,1,20,2.6667
1,2,1,1.8333
1,2,2,0.1667
1,2,3,2.6667
1,2,4,2.1429
1,2,5,0.7143
1,2,6,1.0000
1,2,7,1.1667
1,2,8,2.1667
1,2,9,1.5714
1,2,10,1.8571
1,2,11,1.8571
1,2,12,1.1667
1,2,13,1.3333
1,2,14,0.6667
1,2,15,1.5000
1,2,16,2.0000
1,2,17,0.5000
1,2,18,0.3333
1,2,19,1.5000
1,2,20,1.7500
2,1,1,1.5714
2,1,2,1.3333
2,1,3,1.5000
2,1,4,2.1667
2,1,5,1.1667
2,1,6,2.1667
2,1,7,0.3333
2,1,8,0.5000
2,1,9,1.6667
2,1,10,1.0000
2,1,11,1.4286
2,1,12,0.5000
2,1,13,1.5714
2,1,14,0.8333
2,1,15,1.5000
2,1,16,1.1667
2,1,17,1.6667
2,1,18,1.1429
2,1,19,1.5000
2,1,20,4.2857
2,2,1,1.1429
2,2,2,2.5000
2,2,3,2.0000
2,2,4,0.6667
2,2,5,0.6667
2,2,6,2.6667
2,2,7,0.6667
2,2,8,1.6667
2,2,9,1.5000
2,2,10,1.8333
2,2,11,0.6667
2,2,12,1.3333
2,2,13,1.5000
2,2,14,2.1429
2,2,15,1.4286
2,2,16,1.5000
2,2,17,1.6667
2,2,18,1.1667
2,2,19,1.1667
2,2,20,3.0000
3,1,1,1.3333
3,1,2,1.1429
3,1,3,1.0000
3,1,4,1.1667
3,1,5,1.8333
3,1,6,2.0000
3,1,7,2.0000
3,1,8,1.3333
3,1,9,0.6667
3,1,10,2.5000
3,1,11,0.6667
3,1,12,1.1667
3,1,13,1.1667
3,1,14,1.1667
3,1,15,1.5000
3,1,16,0.8333
3,1,17,1.8333
3,1,18,1.7143
3,1,19,2.6667
3,1,20,2.3333
3,2,1,1.1667
3,2,2,2.1667
3,2,3,2.1250
3,2,4,1.5000
3,2,5,1.1667
3,2,6,3.3333
3,2,7,3.8333
3,2,8,1.1667
3,2,9,1.0000
3,2,10,1.1667
3,2,11,2.1429
3,2,12,2.0000
3,2,13,1.0000
3,2,14,1.5000
3,2,15,3.1429
4,1,1,0.1667
4,1,2,0.3333
4,1,3,0.6667
4,1,4,2.1667
4,1,5,2.0000
4,1,6,0.5000
4,1,7,1.1667
4,1,8,1.0000
4,1,9,0.6250
4,1,10,1.6667
4,1,11,1.1429
4,1,12,0.6667
4,1,13,1.5000
4,1,14,2.3333
4,1,15,1.6667
4,1,16,2.5000
4,1,17,0.8333
4,1,18,0.6250
4,1,19,2.3333
4,1,20,2.6667
4,2,1,1.0000
4,2,2,1.6250
4,2,3,1.3333
4,2,4,1.8333
4,2,5,1.6667
4,2,6,1.3333
4,2,7,0.5000
4,2,8,0.5000
4,2,9,0.6667
4,2,10,1.1667
4,2,11,1.3333
4,2,12,0.5000
4,2,13,2.1429
4,2,14,1.8571
4,2,15,2.0000
4,2,16,2.5000
4,2,17,0.3333
4,2,18,2.0000
4,2,19,1.0000
5,1,1,1.6667
5,1,2,1.5000
5,1,3,1.0000
5,1,4,0.6667
5,1,5,0.2857
5,1,6,1.5000
5,1,7,0.6667
5,1,8,1.3333
5,1,9,0.3333
5,1,10,1.0000
5,1,11,0.8333
5,1,12,1.3333
5,1,13,4.0000
5,1,14,2.2857
5,1,15,1.0000
5,1,16,2.1667
5,1,17,1.3333
5,1,18,0.3333
5,1,19,1.0000
5,1,20,1.1667
5,2,1,1.2857
5,2,2,0.6667
5,2,3,1.3333
5,2,4,1.8333
5,2,5,0.8333
5,2,6,1.0000
5,2,7,1.6667
5,2,8,1.5000
5,2,9,0.8333
5,2,10,1.5000
5,2,11,1.0000
5,2,12,1.5000
5,2,13,1.8571
5,2,14,0.8333
5,2,15,0.1667
5,2,16,1.3333
5,2,17,0.8333
5,2,18,1.8333
5,2,19,0.3333
5,2,20,0.5000
6,1,1,0.5000
6,1,2,1.6667
6,1,3,2.0000
6,1,4,1.1667
6,1,5,0.5000
6,1,6,0.8333
6,1,7,1.0000
6,1,8,1.3333
6,1,9,0.5000
6,1,10,0.5000
6,1,11,1.3333
6,1,12,1.1667
6,1,13,2.0000
6,1,14,1.5000
6,1,15,1.0000
6,1,16,1.3333
6,1,17,0.5000
6,1,18,0.6667
6,1,19,2.1667
6,1,20,0.8333
6,2,1,0.5000
6,2,2,1.3333
6,2,3,3.5000
6,2,4,1.3333
6,2,5,1.3333
6,2,6,1.8333
6,2,7,1.1429
6,2,8,0.8333
6,2,9,0.6667
6,2,10,1.8571
6,2,11,2.0000
6,2,12,1.1429
6,2,13,1.8333
6,2,14,1.0000
6,2,15,0.8333
6,2,16,3.0000
7,1,1,1.2500
7,1,2,1.5000
7,1,3,1.8750
7,1,4,1.6667
7,1,5,0.6667
7,1,6,1.3750
7,1,7,1.0000
7,1,8,0.3333
7,1,9,0.8333
7,1,10,1.1667
7,1,11,0.5000
7,1,12,1.1667
7,1,13,1.5000
7,1,14,1.5000
7,1,15,1.6667
7,1,16,2.3333
7,1,17,0.8333
7,1,18,1.3333
7,1,19,1.8333
7,1,20,2.8750
7,2,1,1.5000
7,2,2,0.7500
7,2,3,1.4286
7,2,4,1.5000
7,2,5,1.1667
7,2,6,0.7143
7,2,7,1.5000
7,2,8,2.1667
7,2,9,0.1667
7,2,10,0.3333
7,2,11,1.5000
7,2,12,2.3333
7,2,13,1.3333
7,2,14,0.5000
7,2,15,1.1667
7,2,16,0.6667
7,2,17,1.8333
7,2,18,3.1667
7,2,19,2.7143
7,2,20,2.4000
8,1,1,0.3333
8,1,2,0.8333
8,1,3,1.8333
8,1,4,0.1667
8,1,5,0.5000
8,1,6,0.1667
8,1,7,1.3333
8,1,8,0.5000
8,1,9,1.8571
8,1,10,1.0000
8,1,11,1.0000
8,1,12,1.0000
8,1,13,0.5000
8,1,14,0.3333
8,1,15,0.1667
8,1,16,1.5000
8,1,17,2.2857
8,1,18,3.1667
8,1,19,2.7143
8,1,20,2.3333
8,2,1,1.0000
8,2,2,1.3333
8,2,3,1.7143
8,2,4,2.8333
8,2,5,1.1667
8,2,6,2.0000
8,2,7,0.8333
8,2,8,1.5714
8,2,9,1.1667
8,2,10,2.0000
8,2,11,1.6667
8,2,12,2.0000
8,2,13,1.3333
8,2,14,2.6667
8,2,15,2.3333
9,1,1,0.2857
9,1,2,1.8333
9,1,3,2.2857
9,1,4,1.4286
9,1,5,1.3333
9,1,6,2.1429
9,1,7,0.6667
9,1,8,0.8333
9,1,9,0.8333
9,1,10,0.8333
9,1,11,1.1667
9,1,12,2.6667
9,1,13,0.6667
9,1,14,0.6667
9,1,15,1.8333
9,1,16,1.0000
9,1,17,1.7143
9,1,18,3.1667
9,1,19,3.6667
9,1,20,3.8333
9,2,1,1.4286
9,2,2,1.0000
9,2,3,1.1667
9,2,4,1.1667
9,2,5,1.1667
9,2,6,1.7143
9,2,7,0.3333
9,2,8,0.5000
9,2,9,0.5000
9,2,10,1.6667
9,2,11,1.3333
9,2,12,0.5000
9,2,13,2.5000
9,2,14,1.0000
9,2,15,0.8571
9,2,16,0.3333
9,2,17,0.0000
10,1,1,0.3333
10,1,2,0.5000
10,1,3,1.3333
10,1,4,0.6667
10,1,5,1.5000
10,1,6,1.3333
10,1,7,2.5000
10,1,8,0.5000
10,1,9,1.6667
10,1,10,1.8571
10,1,11,1.5000
10,1,12,1.5000
10,1,13,1.5000
10,1,14,0.8333
10,1,15,1.3333
10,1,16,1.0000
10,1,17,2.0000
10,1,18,1.1667
10,1,19,1.0000
10,1,20,0.8333
10,2,1,1.0000
10,2,2,2.5000
10,2,3,1.1667
10,2,4,1.8333
10,2,5,0.5000
10,2,6,3.1667
10,2,7,0.5000
10,2,8,1.5000
10,2,9,0.5000
10,2,10,1.5000
10,2,11,0.8333
10,2,12,1.1667
10,2,13,1.5714
10,2,14,0.6667
10,2,15,1.5000
10,2,16,2.1667
10,2,17,2.5000
10,2,18,1.0000
10,2,19,1.0000
11,1,1,1.6667
11,1,2,1.3750
11,1,3,1.5000
11,1,4,2.1429
11,1,5,1.0000
11,1,6,0.6667
11,1,7,0.7143
11,1,8,0.8333
11,1,9,1.8333
11,1,10,2.8333
11,1,11,0.3333
11,1,12,0.1667
11,1,13,1.0000
11,1,14,1.8750
11,1,15,2.5000
11,1,16,0.5714
11,1,17,1.1667
11,1,18,1.8333
11,1,19,1.6667
11,1,20,0.5714
11,2,1,0.7143
11,2,2,1.2500
11,2,3,2.6667
11,2,4,1.8333
11,2,5,3.0000
11,2,6,2.6667
11,2,7,2.1667
11,2,8,1.6667
11,2,9,1.3333
11,2,10,1.5000
11,2,11,0.8750
11,2,12,0.8333
11,2,13,1.3333
11,2,14,2.0000
11,2,15,1.5000
11,2,16,1.1667
11,2,17,2.3333
12,1,1,0.7500
12,1,2,0.1667
12,1,3,2.8333
12,1,4,0.6667
12,1,5,1.0000
12,1,6,1.1667
12,1,7,1.5000
12,1,8,0.5000
12,1,9,1.5000
12,1,10,0.6667
12,1,11,0.8333
12,1,12,0.8333
12,1,13,1.5000
12,1,14,3.1667
12,1,15,1.0000
12,1,16,0.5714
