season,team,matches_won
2017,"Sunrisers Hyderabad",8
2017,"Rising Pune Supergiant",10
2017,"Kolkata Knight Riders",9
2017,"Kings XI Punjab",7
2017,"Royal Challengers Bangalore",3
2017,"Mumbai Indians",12
2017,"Delhi Daredevils",6
2017,"Gujarat Lions",4
2008,"Kolkata Knight Riders",6
2008,"Chennai Super Kings",9
2008,"Delhi Daredevils",7
2008,"Royal Challengers Bangalore",4
2008,"Rajasthan Royals",13
2008,"Kings XI Punjab",10
2008,"Deccan Chargers",2
2008,"Mumbai Indians",7
2009,"Mumbai Indians",1
2009,"Royal Challengers Bangalore",1
2009,"Delhi Daredevils",2
2009,"Deccan Chargers",3
2009,"Chennai Super Kings",1
2009,"Kolkata Knight Riders",1
2009,"Rajasthan Royals",1
2009,"Kings XI Punjab",1
