batsman,total_dismissals
"G Gambhir",8
"CA Lynn",9
"SA Yadav",4
"MK Pandey",6
"CR Woakes",4
"SP Narine",4
"DA Warner",7
"S Dhawan",15
"BCJ Cutting",5
"NV Ojha",5
"V Shankar",6
"Rashid Khan",2
"BB McCullum",14
"SK Raina",9
"Ishan Kishan",10
"KD Karthik",7
"JJ Roy",3
"HM Amla",18
"SE Marsh",6
"GJ Maxwell",8
"AR Patel",6
"AJ Finch",2
"RA Jadeja",7
"IK Pathan",2
"JP Faulkner",5
"Mandeep Singh",4
"V Kohli",2
"AB de Villiers",4
"TM Head",2
"P Negi",9
"KM Jadhav",3
"SS Iyer",3
"KK Nair",2
"RR Pant",1
"CJ Anderson",5
"PJ Cummins",1
"MC Henriques",8
"Yuvraj Singh",2
"MJ Guptill",3
"WP Saha",13
"AM Rahane",20
"SPD Smith",14
"MK Tiwary",6
"IR Jaggi",9
"UT Yadav",2
"AS Rajpoot",3
"MS Dhoni",8
"PA Patel",2
"A Flintoff",4
"ML Hayden",3
"S Badrinath",1
"Joginder Sharma",4
"T Thushara",3
"AC Gilchrist",8
"HH Gibbs",5
"DB Ravi Teja",4
"Y Venugopal Rao",3
"RP Singh",1
"FH Edwards",2
"PP Ojha",2
