batsman,average_boundaries
"DA Warner",19.2641
"S Dhawan",14.8611
"MC Henriques",15.0235
"Yuvraj Singh",20.8617
"DJ Hooda",16.9811
"BCJ Cutting",29.6296
"CH Gayle",17.8988
"Mandeep Singh",14.0449
"TM Head",13.7615
"KM Jadhav",18.0412
"SR Watson",18.1592
"Sachin Baby",11.7647
"STR Binny",11.6883
"S Aravind",5.0000
"YS Chahal",0.0000
"TS Mills",9.0909
"A Choudhary",10.0000
"PA Patel",16.0180
"JC Buttler",22.5806
"RG Sharma",17.3633
"N Rana",14.8014
"AT Rayudu",12.5000
"KH Pandya",16.6667
"KA Pollard",17.0068
"HH Pandya",18.0233
"TG Southee",33.3333
"AM Rahane",12.9683
"MA Agarwal",10.3448
"SPD Smith",12.5000
"BA Stokes",16.2996
"MS Dhoni",14.0127
"JJ Roy",24.3902
"BB McCullum",22.0963
"SK Raina",17.2312
"AJ Finch",23.1579
"KD Karthik",15.2672
"G Gambhir",18.0590
"CA Lynn",25.1429
"MK Tiwary",17.2515
"DT Christian",19.2308
"HM Amla",19.2568
"M Vohra",18.8235
"WP Saha",15.0160
"AR Patel",12.8655
"GJ Maxwell",24.7312
"DA Miller",9.7561
"Vishnu Vinod",7.6923
"Iqbal Abdulla",0.0000
"P Negi",14.9123
"AP Tare",12.0000
"SW Billings",18.6916
"KK Nair",19.6507
"SV Samson",18.5455
"RR Pant",23.0088
"CH Morris",21.6495
"CR Brathwaite",12.5000
"PJ Cummins",16.6667
"A Mishra",7.1429
"S Nadeem",0.0000
"Z Khan",6.1538
"DR Smith",22.5225
"DS Kulkarni",0.0000
"P Kumar",14.8148
"Basil Thampi",6.6667
"RV Uthappa",17.6976
"MK Pandey",12.3077
"YK Pathan",22.7818
"SA Yadav",12.3596
"CR Woakes",10.6383
"SP Narine",32.5926
"Harbhajan Singh",20.0000
"AB de Villiers",13.8462
"CJ Anderson",13.0769
"F du Plessis",14.2857
"RA Tripathi",21.8182
"R Bhatia",11.1111
"DL Chahar",33.3333
"A Zampa",14.2857
"AB Dinda",7.1429
"Imran Tahir",0.0000
"NV Ojha",7.1429
"V Shankar",16.8831
"Rashid Khan",11.1111
"B Kumar",0.0000
"MP Stoinis",4.0000
"MM Sharma",9.8039
"VR Aaron",0.0000
"V Kohli",13.1959
"MJ McClenaghan",6.2500
"Ankit Sharma",18.7500
"SN Thakur",0.0000
"RD Chahar",0.0000
"LH Ferguson",0.0000
"C de Grandhomme",17.3913
"Bipul Sharma",12.0000
"SS Iyer",18.4739
"EJG Morgan",12.9032
"KC Cariappa",0.0000
"Sandeep Sharma",0.0000
"Ishan Kishan",19.6262
"JD Unadkat",0.0000
"AF Milne",0.0000
"S Badree",0.0000
"AD Mathews",10.7143
"Mohammed Shami",25.0000
"Mohammad Nabi",0.0000
"I Sharma",8.8235
"RA Jadeja",13.2576
"AJ Tye",23.3333
"KS Williamson",17.6471
"SE Marsh",19.3846
"Shakib Al Hasan",0.0000
"JP Faulkner",6.6667
"MG Johnson",11.7647
"K Rabada",8.8235
"AD Nath",0.0000
"NM Coulter-Nile",15.3846
"Kuldeep Yadav",9.0909
"UT Yadav",0.0000
"Washington Sundar",0.0000
"KV Sharma",15.5556
"DM Bravo",20.0000
"AR Bawne",8.3333
"SP Jackson",16.1290
"MJ Guptill",25.0000
"Anureet Singh",16.6667
"IK Pathan",14.2857
"Ankit Soni",11.1111
"JJ Bumrah",8.3333
"SL Malinga",33.3333
"PJ Sangwan",0.0000
"S Kaul",0.0000
