season,batting_team,average_boundaries
2017,"Sunrisers Hyderabad",20.7143
2017,"Royal Challengers Bangalore",16.0000
2017,"Mumbai Indians",20.1765
2017,"Rising Pune Supergiant",17.8750
2017,"Gujarat Lions",22.1429
2017,"Kolkata Knight Riders",19.6875
2017,"Kings XI Punjab",19.7857
2017,"Delhi Daredevils",20.6429
2008,"Kolkata Knight Riders",18.3077
2008,"Royal Challengers Bangalore",17.5714
2008,"Chennai Super Kings",20.6250
2008,"Kings XI Punjab",21.7333
2008,"Rajasthan Royals",21.5000
2008,"Delhi Daredevils",19.4286
2008,"Mumbai Indians",19.5000
2008,"Deccan Chargers",21.2143
2009,"Mumbai Indians",19.5000
2009,"Chennai Super Kings",18.6667
2009,"Royal Challengers Bangalore",17.2500
2009,"Rajasthan Royals",11.0000
2009,"Kings XI Punjab",16.0000
2009,"Delhi Daredevils",16.5000
2009,"Kolkata Knight Riders",13.0000
2009,"Deccan Chargers",18.3333
