season,batting_team,highest_partnership
2017,"Sunrisers Hyderabad",280
2017,"Royal Challengers Bangalore",210
2017,"Mumbai Indians",328
2017,"Rising Pune Supergiant",260
2017,"Gujarat Lions",315
2017,"Kolkata Knight Riders",246
2017,"Kings XI Punjab",240
2017,"Delhi Daredevils",216
2008,"Kolkata Knight Riders",218
2008,"Royal Challengers Bangalore",198
2008,"Chennai Super Kings",281
2008,"Kings XI Punjab",288
2008,"Rajasthan Royals",274
2008,"Delhi Daredevils",222
2008,"Mumbai Indians",210
2008,"Deccan Chargers",253
2009,"Mumbai Indians",54
2009,"Chennai Super Kings",71
2009,"Royal Challengers Bangalore",72
2009,"Rajasthan Royals",38
2009,"Kings XI Punjab",74
2009,"Delhi Daredevils",36
2009,"Kolkata Knight Riders",50
2009,"Deccan Chargers",62
